pair_kind,A,B,mean_rmse_A_only,mean_rmse_B_only,mean_rmse_AB,mean_delta_A,mean_delta_B,mean_delta_AB,mean_super_add,top5_rmse_A_only,top5_rmse_B_only,top5_rmse_AB,top5_delta_A,top5_delta_B,top5_delta_AB,top5_super_add,top1_rmse_A_only,top1_rmse_B_only,top1_rmse_AB,top1_delta_A,top1_delta_B,top1_delta_AB,top1_super_add
hessian,gwl,gwl_t-4,3.3569,3.3454,3.3781,-0.0084,-0.0199,0.0128,0.0411,9.0595,8.9343,9.0084,0.1179,-0.0073,0.0667,-0.0438,12.6952,12.2954,12.2692,0.5602,0.1604,0.1342,-0.5865
hessian,gwl_t-1,rain_t-1,3.365,3.3566,3.4077,-0.0004,-0.0087,0.0424,0.0515,9.1082,9.0512,9.2208,0.1666,0.1096,0.2792,0.003,12.8867,12.4167,12.793,0.7517,0.2817,0.658,-0.3754
hessian,gwl_t-2,rain_t-2,3.3665,3.4119,3.3523,0.0011,0.0466,-0.013,-0.0607,9.0275,9.3989,8.9483,0.0859,0.4573,0.0067,-0.5365,12.6667,13.173,11.9666,0.5317,1.038,-0.1684,-1.7381
hessian,rain,gwl_t-5,3.3519,3.3567,3.3605,-0.0134,-0.0086,-0.0048,0.0172,8.9962,8.9919,9.1078,0.0546,0.0503,0.1662,0.0613,12.3838,12.1337,13.2496,0.2488,-0.0013,1.1146,0.8671
hessian,gwl_t-3,rain_t-3,3.3448,3.3419,3.3677,-0.0206,-0.0234,0.0024,0.0464,8.8915,8.8544,9.097,-0.0501,-0.0872,0.1554,0.2928,12.3813,12.3829,12.8252,0.2463,0.2479,0.6902,0.196
control,gate2_t-16,wl_t-13,3.3775,3.3446,3.3402,0.0122,-0.0207,-0.0251,-0.0166,9.1081,8.9449,8.8874,0.1665,0.0033,-0.0542,-0.2239,12.8539,12.319,12.0823,0.7189,0.184,-0.0527,-0.9556
control,rain_t-7,gate1_t-3,3.3538,3.3302,3.3654,-0.0115,-0.0351,0.0001,0.0467,9.123,8.8356,9.1527,0.1813,-0.106,0.2111,0.1358,12.5704,12.3576,12.8811,0.4354,0.2226,0.7461,0.0881
control,gate2_t+11,gate1_t+21,3.3419,3.3347,3.375,-0.0234,-0.0307,0.0097,0.0638,8.9656,8.8,9.0972,0.024,-0.1416,0.1556,0.2731,12.5594,11.8093,12.6506,0.4244,-0.3257,0.5156,0.4169
control,rain_t-23,rain_t-21,3.3482,3.352,3.3677,-0.0171,-0.0133,0.0024,0.0329,8.963,9.0123,9.0806,0.0214,0.0706,0.139,0.0469,12.6446,12.4428,12.7527,0.5096,0.3078,0.6177,-0.1997
control,wl_t-1,gate1_t-13,3.3788,3.3532,3.326,0.0135,-0.0121,-0.0393,-0.0407,9.1575,8.9628,8.7987,0.2159,0.0212,-0.1429,-0.38,12.8396,12.353,12.0072,0.7046,0.218,-0.1278,-1.0505
