feature,ffca_impact,ffca_volatility,ffca_nonlinearity,ffca_interaction,cv_subgroup,overall_mean_grad,between_std
gate1_t-6,0.0020995398704712898,1.3032203887134617e-06,0.0011515128426253796,0.05801522557158023,0.3376774347064122,0.0027642029815242715,0.0009334089721466096
gate2_t-6,0.002636927315961657,1.5095786746295999e-06,0.001731296128127724,0.0655678179464303,0.4143198614752461,0.0029769890957622364,0.0012334257101838477
gate1_t-4,0.0025784751692299324,1.9141697900591366e-06,0.0014024346019141376,0.06845007734955288,0.38993977682994196,0.003263163269533827,0.001272437157471624
gate1_t-5,0.002066511388072456,2.0929322304953365e-06,0.0012128169182687998,0.057588057534303516,0.32023091307543705,0.0029124311802925526,0.0009326504964546878
stgH_t-11,0.0030382540238633737,2.325535892429579e-06,0.002181484131142497,0.09658102109096944,0.22374915384404664,0.0035686114688631585,0.0007984737967800413
stgH_t-10,0.003475865234122466,2.3884557586460192e-06,0.0022849501110613346,0.10617702529998496,0.15120841725022258,0.004310675572777935,0.0006518104307901568
gate2_t-3,0.004315387737278797,2.538498600863188e-06,0.0018236037576571107,0.09406766341999173,0.4284057105119938,0.004578179702080782,0.0019613183285499113
stgH_t-22,0.0031115528197460662,2.7955896250775047e-06,0.002093006973154843,0.09836728527443483,0.08165822936330265,0.004427371519146032,0.00036153131906863865
gwl_t-15,0.008788561106484849,2.9667207114838737e-06,0.0036414909409359097,0.14019884233130142,0.1488609516515148,0.012345142723846838,0.0018377096942944749
gwl_t-18,0.004859046199271688,3.2555157249150517e-06,0.00477659166790545,0.1580904059810564,0.2456470583629067,0.007086974581489211,0.0017408944588811637
gwl_t-19,0.004599485077051213,3.454275258755887e-06,0.003733754507265985,0.13860089489025995,0.21033389746176173,0.007301941703838733,0.0015358458578173119
gate1_t-2,0.0037209552529020584,3.6347459930760834e-06,0.0015517910360358655,0.08861199917737395,0.40924463477366835,0.004385901009528168,0.0017949064572070634
gwl_t-14,0.012907262229418848,4.245505835305456e-06,0.0024246112443506718,0.1704470170661807,0.08118333455588748,0.016798305436218686,0.0013637424502817082
gwl_t-23,0.005435365654193447,4.68747146936815e-06,0.003464987501502037,0.13627872138749808,0.3090656532246358,0.007322575745459238,0.0022631566563662995
gate2_t+23,0.002221960346957985,5.046359655085597e-06,0.002012793906033039,0.09334881941322237,0.04173338784135715,0.002614798716285286,0.00010912440899555001
stgH_t-3,0.002845325504495122,5.292450857380065e-06,0.0035432371078059077,0.15308363048825413,0.164134964222483,0.004177169811336971,0.0006856196176991649
gate2_t-1,0.004983914396689215,5.794021969405235e-06,0.003540347213856876,0.14318447950063273,0.34176949001965096,0.005665296158693038,0.0019362253793085767
stgH_t-6,0.0029858786196825804,7.110229413855198e-06,0.0025793679524213076,0.13106313499156386,0.1020871802096361,0.0031126086769661665,0.0003177574430296092
stgH_t-24,0.006282241172812064,9.040125209216147e-06,0.00501315644942224,0.2098432038910687,0.21799836939346268,0.007729710641444629,0.001685064315936224
rain_t-17,0.014599534872104414,1.5094510771029552e-05,0.007770764175802469,0.23883170820772648,0.3152643140402866,0.01654719699010202,0.005216740708689272
rain_t-23,0.00992338969535922,1.6257290359022193e-05,0.008165448438376188,0.2708464136812836,0.3834474188794771,0.01377651770663162,0.005282570156138755
gwl_t-6,0.037982565991114825,1.9357615263750752e-05,0.009897314943373203,0.3891053718980402,0.11736394133939114,0.04227326878894815,0.004961357438487789
rain_t-18,0.00870248588398681,2.1557178623850652e-05,0.010363259818404913,0.2888926339801401,0.4758505414423962,0.014077086071931269,0.006698589029735559
rain_t-21,0.009592621427145787,2.5174323434104775e-05,0.014759622514247894,0.35565987089648843,0.48688605541575314,0.012204577870053735,0.005942238777651743
rain_t-12,0.008635270092042902,2.7193846751643007e-05,0.008817761670798063,0.292533774394542,0.7907954435584545,0.017272962422478357,0.013659379981243084
rain_t-6,0.02356476229033433,2.9996958440292093e-05,0.016000854782760143,0.46442067064344883,0.443916106320857,0.037915141610646574,0.01683114203484605
rain_t-3,0.04236744617810473,3.295432287619054e-05,0.02512981928884983,0.5275452332571149,0.22420254509365728,0.05420087475272213,0.012151974066087055
gwl_t-4,0.05745016358559951,4.1934984802046845e-05,0.015809908509254456,0.57196140056476,0.14850967597884746,0.06180261517252466,0.009178286354065548
gwl_t-3,0.06927813071524724,5.839360554581877e-05,0.02867739647626877,0.7261124104261398,0.16427435808277974,0.07479360128298097,0.012286670839625346
gwl_t-1,0.09961420111358166,0.00010846325377236981,0.057533860206604004,1.0308667216449976,0.18605434656520714,0.10616344244096751,0.019752169912653245
